epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.11062,1.49929,4.60348,0.89764,0.00167,0.0625,0.00104,0.00065,1.33325,5.14482,0.92991,6e-05,6e-05,6e-05
2,13.3807,1.46864,5.14863,0.86868,0.82353,0.4375,0.71595,0.37776,1.41831,13.3083,0.84086,0.000137228,0.000137228,0.000137228
3,22.7386,1.24374,4.57221,0.82898,0.12487,1,0.30269,0.20266,1.30494,16.9447,0.84423,0.000211288,0.000211288,0.000211288
4,30.6381,1.3613,2.0622,0.83616,0.00667,0.25,0.02795,0.02061,nan,nan,nan,0.00028218,0.00028218,0.00028218
5,37.663,1.20186,1.06791,0.82379,0.0125,0.46875,0.03488,0.02337,nan,nan,nan,0.000349904,0.000349904,0.000349904
6,45.0295,1.22049,0.9108,0.8271,0.00083,0.03125,0.00046,0.00032,nan,nan,nan,0.00041446,0.00041446,0.00041446
7,51.9135,1.23155,0.92568,0.82369,0.005,0.1875,0.00701,0.00498,nan,nan,nan,0.000475848,0.000475848,0.000475848
8,59.3681,1.19503,0.77579,0.8253,0,0,0,0,nan,nan,nan,0.000534068,0.000534068,0.000534068
9,66.1541,1.1703,0.70943,0.81674,0,0,0,0,nan,nan,nan,0.00058912,0.00058912,0.00058912
10,73.5581,1.16874,0.61708,0.82919,0.04055,0.53125,0.0274,0.0178,1.51224,nan,1.01401,0.000641004,0.000641004,0.000641004
11,80.5755,1.16678,0.62746,0.82473,0.01039,0.03125,0.00242,0.00148,nan,nan,nan,0.00068972,0.00068972,0.00068972
12,89.7584,1.2028,0.64852,0.81261,0,0,0,0,nan,nan,nan,0.000735268,0.000735268,0.000735268
13,96.8441,1.15976,0.58913,0.8259,0,0,0,0,nan,nan,nan,0.000777648,0.000777648,0.000777648
14,103.839,1.14459,0.60848,0.81513,0.41697,0.09375,0.09338,0.05789,nan,nan,nan,0.00081686,0.00081686,0.00081686
15,111.019,1.12837,0.53187,0.81484,0.74002,0.34375,0.35012,0.17592,1.76148,2.14055,1.04547,0.000852904,0.000852904,0.000852904
16,118.115,1.134,0.64188,0.81075,0,0,0,0,2.78881,nan,1.50574,0.00088578,0.00088578,0.00088578
17,125.301,1.11855,0.61953,0.80585,0,0,0,0,nan,nan,nan,0.000915488,0.000915488,0.000915488
18,132.374,1.14378,0.60232,0.81207,0,0,0,0,nan,nan,nan,0.000942028,0.000942028,0.000942028
19,139.807,1.08484,0.60708,0.81644,0,0,0,0,nan,nan,nan,0.0009654,0.0009654,0.0009654
20,149.332,1.17914,0.74333,0.81279,0,0,0,0,nan,nan,nan,0.000985604,0.000985604,0.000985604
21,156.578,1.08201,0.60471,0.80045,0,0,0,0,0,0,0,0.00100264,0.00100264,0.00100264
22,165.689,1.00345,0.68058,0.80889,0,0,0,0,2.61446,5.62242,1.17919,0.00101651,0.00101651,0.00101651
