epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.183,1.88289,2.56486,2.06126,0.99294,1,0.995,0.90989,0.41912,1.06083,0.92424,6e-05,6e-05,6e-05
2,11.0359,1.54084,2.4047,1.7901,0.32825,1,0.40237,0.37742,0.4521,10.6457,0.87819,0.000137228,0.000137228,0.000137228
3,18.0442,0.44424,1.23288,0.91012,0.66667,1,0.72473,0.71929,0.26843,15.1184,0.93765,0.000211288,0.000211288,0.000211288
4,24.9962,0.49012,0.77774,0.94116,0.5,1,0.58394,0.5563,0.34426,14.5964,1.07118,0.00028218,0.00028218,0.00028218
5,37.231,0.3676,0.55421,0.85947,0.47059,1,0.585,0.53009,0.41252,15.7037,0.8777,0.000349904,0.000349904,0.000349904
6,47.3561,0.33359,0.45398,0.87503,0.14035,1,0.23917,0.2226,0.29978,26.5047,0.8764,0.00041446,0.00041446,0.00041446
7,58.218,0.35792,0.43715,0.9022,1,1,0.995,0.72521,0.88051,5.02754,1.60115,0.000475848,0.000475848,0.000475848
8,70.1343,0.31268,0.38002,0.87004,1,1,0.995,0.90785,0.53824,5.86441,1.15651,0.000534068,0.000534068,0.000534068
9,81.915,0.32798,0.36901,0.88672,1,1,0.995,0.91437,0.33123,2.59584,1.15718,0.00058912,0.00058912,0.00058912
10,100.307,0.33298,0.36404,0.87428,0.27507,1,0.36049,0.2453,1.09922,10.3458,1.39291,0.000641004,0.000641004,0.000641004
11,110.481,0.29857,0.36111,0.8646,0.01504,0.08333,0.01873,0.00187,5.63506,130.565,50.212,0.00068972,0.00068972,0.00068972
12,117.341,0.3253,0.39643,0.87996,0.0566,0.125,0.02605,0.00594,5.39769,69.1763,1276.11,0.000735268,0.000735268,0.000735268
13,125.989,0.32999,0.35117,0.85069,0.05,0.16667,0.03767,0.00722,6.02099,1250.06,3881.64,0.000777648,0.000777648,0.000777648
14,143.864,0.37958,0.42166,0.89313,0.07273,0.16667,0.03231,0.00323,5.75268,930.556,3268.55,0.00081686,0.00081686,0.00081686
15,150.545,0.39891,0.45512,0.88531,0.74056,0.16667,0.17539,0.05262,5.00118,7.45005,195.991,0.000852904,0.000852904,0.000852904
16,160.789,0.40074,0.4059,0.91347,0.05948,0.16667,0.01919,0.00512,4.88857,36.136,158.223,0.00088578,0.00088578,0.00088578
17,170.543,0.36289,0.39546,0.88443,0.54829,0.16667,0.18479,0.06521,3.56119,3.03278,4.40337,0.000915488,0.000915488,0.000915488
18,182.814,0.3631,0.34871,0.87012,0.02,1,0.02537,0.0076,3.08461,inf,432.084,0.000942028,0.000942028,0.000942028
19,189.537,0.3288,0.31961,0.87729,0.02277,1,0.03883,0.00441,3.56871,inf,333.823,0.0009654,0.0009654,0.0009654
20,203.023,0.37324,0.33026,0.8755,0.0071,0.29167,0.00577,0.00088,4.1244,3.21092,21.8435,0.000985604,0.000985604,0.000985604
21,210.198,0.36685,0.36018,0.87947,0.06158,0.66667,0.05872,0.00915,4.28944,12.4021,7.02995,0.00100264,0.00100264,0.00100264
22,220.175,0.33326,0.29437,0.84786,0.00879,0.16667,0.00541,0.0016,5.14946,27.2017,13.4732,0.00101651,0.00101651,0.00101651
23,231.856,0.3517,0.33711,0.87347,0.01399,0.16667,0.00888,0.00266,4.38765,4.04224,95.5663,0.00102721,0.00102721,0.00102721
24,244.346,0.30975,0.30304,0.89734,0.07627,0.75,0.06952,0.00803,4.49615,3.99045,56.4912,0.00103474,0.00103474,0.00103474
25,256.651,0.2595,0.26531,0.85119,0.01342,0.16667,0.0083,0.00083,4.37292,4.57084,17.7803,0.0010391,0.0010391,0.0010391
26,267.447,0.31233,0.32388,0.8512,0,0,0,0,4.69155,5.15473,51.3644,0.00101,0.00101,0.00101
27,278.662,0.29343,0.29327,0.84932,0.00795,0.16667,0.00738,0.00074,4.82567,4.07959,18.1712,0.0009704,0.0009704,0.0009704
28,289.733,0.27322,0.26522,0.85684,0.94817,1,0.9934,0.95569,0.29972,0.30958,1.04994,0.0009308,0.0009308,0.0009308
29,302.719,0.25699,0.25397,0.84475,0.66322,1,0.73522,0.60757,0.79384,0.99902,2.06669,0.0008912,0.0008912,0.0008912
30,315.504,0.2896,0.31293,0.82278,1,0.89916,0.98611,0.73974,0.82872,0.6704,2.06366,0.0008516,0.0008516,0.0008516
31,343.113,0.29291,0.29232,0.84927,0.7992,1,0.995,0.96293,0.27496,0.42171,0.85042,0.000812,0.000812,0.000812
32,361.053,0.24243,0.25864,0.84039,0.99716,1,0.995,0.97577,0.21749,0.25702,0.82018,0.0007724,0.0007724,0.0007724
33,390.664,0.25901,0.26978,0.83818,0.99684,0.95833,0.9742,0.93475,0.30265,0.30674,0.87226,0.0007328,0.0007328,0.0007328
34,402.38,0.23798,0.23342,0.84335,1,0.99951,0.995,0.98389,0.23698,0.27518,0.85271,0.0006932,0.0006932,0.0006932
35,432.626,0.23134,0.22186,0.8275,0.99775,1,0.995,0.995,0.20454,0.19393,0.82573,0.0006536,0.0006536,0.0006536
36,457.554,0.22759,0.22596,0.83727,0.99771,1,0.995,0.995,0.20856,0.19567,0.82165,0.000614,0.000614,0.000614
37,467.475,0.23254,0.21928,0.82458,0.99783,1,0.995,0.995,0.2067,0.21762,0.83093,0.0005744,0.0005744,0.0005744
38,486.361,0.20374,0.20297,0.81748,0.99795,1,0.995,0.995,0.18515,0.19698,0.82138,0.0005348,0.0005348,0.0005348
39,499.232,0.20722,0.2018,0.82977,0.99796,1,0.995,0.995,0.15049,0.19434,0.80756,0.0004952,0.0004952,0.0004952
40,519.12,0.20647,0.19856,0.79487,0.99798,1,0.995,0.99234,0.23665,0.17295,0.8324,0.0004556,0.0004556,0.0004556
41,532.397,0.20947,0.35391,0.79507,0.99796,1,0.995,0.98739,0.28178,0.17642,0.84338,0.000416,0.000416,0.000416
42,541.77,0.20162,0.21396,0.7912,0.99793,1,0.995,0.995,0.23484,0.16242,0.81881,0.0003764,0.0003764,0.0003764
43,556.892,0.19104,0.23027,0.811,0.99791,1,0.995,0.995,0.20714,0.15336,0.81291,0.0003368,0.0003368,0.0003368
44,573.821,0.19006,0.24766,0.80399,0.99795,1,0.995,0.995,0.1838,0.14465,0.81387,0.0002972,0.0002972,0.0002972
45,589.219,0.20076,0.21178,0.80294,0.99795,1,0.995,0.995,0.15055,0.13542,0.81012,0.0002576,0.0002576,0.0002576
46,609.848,0.19332,0.1942,0.81147,0.99794,1,0.995,0.995,0.13322,0.15737,0.80267,0.000218,0.000218,0.000218
47,639.216,0.19712,0.20857,0.78665,0.99793,1,0.995,0.995,0.13485,0.17109,0.80133,0.0001784,0.0001784,0.0001784
48,650.384,0.19789,0.21292,0.8215,0.99794,1,0.995,0.995,0.14186,0.161,0.80196,0.0001388,0.0001388,0.0001388
49,663.87,0.17854,0.17675,0.81322,0.99795,1,0.995,0.995,0.14312,0.15469,0.80262,9.92e-05,9.92e-05,9.92e-05
50,681.277,0.1715,0.16847,0.80886,0.99795,1,0.995,0.995,0.14449,0.14779,0.80339,5.96e-05,5.96e-05,5.96e-05
