                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69357,                0.46623,                0.84575,                0.98498,                      1,                0.98982,                0.77391,                0.90714,                0.43041,                0.95425,                      0,                      0,                      0
                      2,                0.71751,                0.48445,                 0.8544,                0.72482,                0.98947,                0.72482,                0.56658,                0.90545,                 2.5357,                0.95772,              1.634e-05,              1.634e-05,              1.634e-05
                      3,                0.65599,                0.42824,                0.83612,                0.31243,                0.92865,                0.31203,                0.23436,                0.94832,                 13.173,                0.97922,              3.202e-05,              3.202e-05,              3.202e-05
                      4,                0.64256,                0.41511,                0.83942,                0.83646,                0.97736,                0.86147,                0.62371,                 1.0091,                0.85115,                  1.001,             4.7039e-05,             4.7039e-05,             4.7039e-05
                      5,                0.66759,                0.42772,                0.85319,                0.96288,                0.99211,                0.97859,                0.71758,                  1.008,                0.51851,                0.99941,             6.1399e-05,             6.1399e-05,             6.1399e-05
                      6,                0.68643,                0.37714,                0.87512,                0.99657,                0.99911,                  0.995,                0.75794,                0.92544,                0.45542,                0.96547,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      7,                0.70331,                 0.3954,                0.89935,                0.99192,                 0.9954,                  0.995,                0.77211,                0.86748,                0.46965,                0.93753,             8.8138e-05,             8.8138e-05,             8.8138e-05
                      8,                0.64799,                0.41487,                0.85645,                0.98534,                0.99086,                  0.995,                0.78601,                0.83928,                0.46402,                0.91958,             0.00010052,             0.00010052,             0.00010052
                      9,                0.64072,                0.38392,                0.86826,                 0.9902,                0.99848,                  0.995,                0.77966,                0.83991,                0.40905,                 0.9206,             0.00011224,             0.00011224,             0.00011224
                     10,                0.67861,                0.37816,                0.85169,                0.99662,                0.98028,                0.99482,                0.77599,                0.85718,                0.40959,                0.92827,             0.00012329,             0.00012329,             0.00012329
                     11,                 0.6482,                0.37372,                 0.8752,                0.99343,                0.98862,                0.99458,                  0.775,                0.84826,                0.43669,                0.92439,             0.00013369,             0.00013369,             0.00013369
                     12,                0.64818,                0.39049,                0.85559,                0.98641,                0.96316,                0.99197,                0.77914,                0.84644,                0.48145,                0.92361,             0.00014343,             0.00014343,             0.00014343
                     13,                0.65253,                0.44914,                0.83675,                 0.9898,                0.99334,                  0.995,                 0.7708,                0.86935,                0.42924,                0.93525,             0.00015251,             0.00015251,             0.00015251
                     14,                0.65159,                0.39073,                0.86107,                0.97722,                0.99415,                0.99044,                0.75203,                0.88763,                0.41577,                0.94616,             0.00016093,             0.00016093,             0.00016093
                     15,                 0.6105,                0.35872,                0.84508,                      1,                0.94761,                0.97866,                 0.7401,                0.90381,                0.42337,                0.95177,             0.00016869,             0.00016869,             0.00016869
                     16,                0.62087,                0.36795,                0.85716,                0.99797,                0.89481,                0.93487,                0.70329,                0.94358,                0.46378,                0.97032,             0.00017579,             0.00017579,             0.00017579
                     17,                0.60458,                0.38614,                0.82658,                0.99846,                0.89422,                0.95945,                0.71049,                 0.9865,                0.49531,                0.99025,             0.00018222,             0.00018222,             0.00018222
                     18,                0.61599,                0.39778,                0.83262,                0.99846,                0.89422,                0.95945,                0.71049,                 0.9865,                0.49531,                0.99025,               0.000188,               0.000188,               0.000188
                     19,                0.63472,                0.42286,                0.85325,                0.98904,                0.98757,                0.99478,                 0.7616,                0.93293,                0.45276,                0.95681,             0.00019312,             0.00019312,             0.00019312
                     20,                0.64543,                0.41404,                0.84633,                0.98904,                0.98757,                0.99478,                 0.7616,                0.93293,                0.45276,                0.95681,             0.00019758,             0.00019758,             0.00019758
                     21,                 0.6535,                0.41263,                 0.8609,                0.98959,                0.99165,                  0.995,                 0.7851,                0.88337,                0.42656,                0.93618,             0.00020137,             0.00020137,             0.00020137
                     22,                0.64687,                0.43189,                0.85089,                0.98959,                0.99165,                  0.995,                 0.7851,                0.88337,                0.42656,                0.93618,             0.00020451,             0.00020451,             0.00020451
                     23,                0.62665,                0.39047,                0.85757,                 0.8007,                0.99561,                0.80242,                0.63574,                0.84284,                 2.1865,                0.91918,             0.00020699,             0.00020699,             0.00020699
                     24,                0.65252,                0.45738,                0.85482,                 0.8007,                0.99561,                0.80242,                0.63574,                0.84284,                 2.1865,                0.91918,             0.00020881,             0.00020881,             0.00020881
                     25,                 0.6428,                0.41098,                0.85802,                0.76614,                      1,                0.76692,                0.60713,                0.85314,                 5.3372,                 0.9248,             0.00020996,             0.00020996,             0.00020996
                     26,                0.63156,                0.41239,                0.83388,                0.76614,                      1,                0.76692,                0.60713,                0.85314,                 5.3372,                 0.9248,             0.00021046,             0.00021046,             0.00021046
                     27,                0.65811,                0.41193,                 0.8456,                0.75378,                0.97985,                0.75436,                0.58274,                0.89861,                 7.2061,                0.94813,              0.0002103,              0.0002103,              0.0002103
                     28,                 0.5965,                 0.3674,                0.85555,                0.75378,                0.97985,                0.75436,                0.58274,                0.89861,                 7.2061,                0.94813,             0.00020947,             0.00020947,             0.00020947
