epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.36564,2.92209,2.75219,2.78031,0.01667,0.83333,0.15381,0.02682,2.11128,2.67369,1.53807,6e-05,6e-05,6e-05
2,13.4696,2.31258,2.66014,2.33349,0.02531,0.70833,0.02658,0.02267,1.01239,41.598,1.1131,0.000137228,0.000137228,0.000137228
3,25.0855,0.72308,1.85461,1.13807,0.38333,0.95833,0.37275,0.32105,0.48163,10.428,0.69764,0.000211288,0.000211288,0.000211288
4,39.9273,0.52791,1.02173,1.03066,0.096,1,0.18802,0.17434,1.4872,152.213,11.286,0.00028218,0.00028218,0.00028218
5,64.1786,0.59382,0.86436,1.00818,0.10811,1,0.16647,0.16,0.49116,43.2488,5.1654,0.000349904,0.000349904,0.000349904
6,74.0498,0.54778,0.5964,1.03626,0.06218,1,0.11617,0.04339,1.55988,198.967,3.13571,0.00041446,0.00041446,0.00041446
7,81.0787,0.495,0.59818,0.96885,0,0,0,0,5.25768,inf,3.71989,0.000475848,0.000475848,0.000475848
8,88.103,0.45724,0.54188,0.97411,0,0,0,0,4.57447,inf,5.26933,0.000534068,0.000534068,0.000534068
9,95.1079,0.45402,0.51201,0.96855,0,0,0,0,2.51765,inf,3.54776,0.00058912,0.00058912,0.00058912
10,102.222,0.47539,0.46669,0.97426,0,0,0,0,6.15636,inf,7.25732,0.000641004,0.000641004,0.000641004
11,117.018,0.4262,0.55633,0.98032,0,0,0,0,4.81213,inf,13.9547,0.00068972,0.00068972,0.00068972
12,124.309,0.55854,0.70369,1.03989,0,0,0,0,2.81891,inf,150.791,0.000735268,0.000735268,0.000735268
13,137.579,0.50607,0.57465,1.03166,0,0,0,0,1.58924,inf,13.6598,0.000777648,0.000777648,0.000777648
14,144.441,0.55437,0.64031,1.13419,0,0,0,0,4.39944,inf,7.60194,0.00081686,0.00081686,0.00081686
15,151.676,0.51224,0.61128,1.02018,0,0,0,0,5.02733,inf,46.2611,0.000852904,0.000852904,0.000852904
16,158.907,0.49149,0.54746,1.02104,0,0,0,0,3.89325,inf,9.19124,0.00088578,0.00088578,0.00088578
17,176.027,0.51227,0.51251,1.02008,0,0,0,0,3.06057,inf,4.04562,0.000915488,0.000915488,0.000915488
18,183.79,0.43577,0.44414,0.94034,0.00583,0.29167,0.00527,0.00097,3.45804,inf,73.56,0.000942028,0.000942028,0.000942028
19,193.018,0.42638,0.49664,0.98005,0.0175,0.875,0.02195,0.004,3.30604,inf,181.883,0.0009654,0.0009654,0.0009654
20,200.306,0.37248,0.39591,0.94164,0.02,1,0.02481,0.00284,3.21524,inf,518.187,0.000985604,0.000985604,0.000985604
21,211.44,0.39858,0.5952,0.93607,0,0,0,0,nan,nan,nan,0.00100264,0.00100264,0.00100264
22,221.459,0.4591,0.45764,0.96188,0,0,0,0,nan,nan,nan,0.00101651,0.00101651,0.00101651
23,231.81,0.44898,0.45106,0.95708,0.03137,1,0.0987,0.03588,2.93087,inf,8.05707,0.00102721,0.00102721,0.00102721
24,247.958,0.37131,0.42501,0.96048,0.08031,1,0.08206,0.04168,1.97454,47.1765,4.45285,0.00103474,0.00103474,0.00103474
25,255.312,0.38127,0.3871,0.93534,0.16107,0.91667,0.59233,0.31226,1.66477,8.8955,3.33019,0.0010391,0.0010391,0.0010391
26,265.997,0.32826,0.38346,0.92335,0.98453,1,0.995,0.49714,1.56079,4.10281,3.34794,0.00101,0.00101,0.00101
27,299.633,0.31607,0.35666,0.92767,0.96014,1,0.995,0.51741,1.54967,8.42101,3.28223,0.0009704,0.0009704,0.0009704
28,309.217,0.34462,0.36827,0.92248,0.9855,1,0.995,0.51491,1.22816,6.87091,2.6078,0.0009308,0.0009308,0.0009308
29,328.634,0.3132,0.32167,0.92626,0.71196,1,0.995,0.66325,0.9363,4.99167,1.86431,0.0008912,0.0008912,0.0008912
30,342.852,0.35247,0.34784,0.91604,0.49656,1,0.96027,0.59,1.12624,3.55713,1.93275,0.0008516,0.0008516,0.0008516
31,365.18,0.32225,0.34005,0.91225,0.84711,1,0.995,0.60664,0.93066,2.67712,1.54097,0.000812,0.000812,0.000812
32,377.949,0.30294,0.30786,0.90754,0.92281,0.99634,0.98859,0.79667,0.53759,1.3088,0.92131,0.0007724,0.0007724,0.0007724
33,391.577,0.28945,0.31932,0.8785,0.99567,1,0.995,0.91038,0.39909,0.63238,0.77544,0.0007328,0.0007328,0.0007328
34,403.224,0.25811,0.28911,0.89466,0.98772,1,0.995,0.9522,0.31521,0.34878,0.73239,0.0006932,0.0006932,0.0006932
35,431.69,0.25773,0.29187,0.87633,0.99298,1,0.995,0.96164,0.22569,0.31303,0.5808,0.0006536,0.0006536,0.0006536
36,451.188,0.23418,0.27698,0.88886,0.99508,1,0.995,0.98563,0.23459,0.26473,0.53826,0.000614,0.000614,0.000614
37,465.369,0.2852,0.29815,0.88937,0.99153,1,0.995,0.995,0.22259,0.34248,0.52796,0.0005744,0.0005744,0.0005744
38,480.373,0.25196,0.27474,0.87596,0.99285,1,0.995,0.98935,0.20736,0.37612,0.52827,0.0005348,0.0005348,0.0005348
39,500.54,0.25327,0.27751,0.89631,0.99552,1,0.995,0.98914,0.2138,0.34027,0.54205,0.0004952,0.0004952,0.0004952
40,515.853,0.2261,0.24993,0.857,0.99659,1,0.995,0.995,0.21108,0.34643,0.53491,0.0004556,0.0004556,0.0004556
41,529.816,0.24072,0.29413,0.88814,0.99767,1,0.995,0.995,0.19791,0.21002,0.52792,0.000416,0.000416,0.000416
42,553.618,0.26267,0.29398,0.89633,0.99784,1,0.995,0.995,0.15788,0.146,0.51136,0.0003764,0.0003764,0.0003764
43,574.098,0.26237,0.27492,0.89054,0.99788,1,0.995,0.995,0.16524,0.14405,0.50788,0.0003368,0.0003368,0.0003368
44,590.499,0.22198,0.24349,0.88972,0.99791,1,0.995,0.995,0.20431,0.19999,0.52351,0.0002972,0.0002972,0.0002972
45,606.833,0.21234,0.23738,0.86562,0.99792,1,0.995,0.995,0.16108,0.16765,0.51183,0.0002576,0.0002576,0.0002576
46,626.052,0.22741,0.24687,0.85092,0.99795,1,0.995,0.995,0.1961,0.12975,0.53671,0.000218,0.000218,0.000218
47,645.95,0.2307,0.25186,0.89033,0.99794,1,0.995,0.995,0.17733,0.13382,0.52576,0.0001784,0.0001784,0.0001784
48,661.047,0.22759,0.23001,0.86061,0.99793,1,0.995,0.995,0.14518,0.16772,0.51217,0.0001388,0.0001388,0.0001388
49,674.192,0.20252,0.22079,0.87658,0.99792,1,0.995,0.995,0.14071,0.19787,0.51301,9.92e-05,9.92e-05,9.92e-05
50,683.348,0.20681,0.20957,0.86632,0.99793,1,0.995,0.995,0.1416,0.19013,0.51571,5.96e-05,5.96e-05,5.96e-05
