epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3822,1.47799,4.69989,0.86128,0.00167,0.0625,0.00103,0.00062,1.51699,5.88267,0.91015,6e-05,6e-05,6e-05
2,42.5945,1.47028,4.90176,0.8499,0.60606,0.625,0.67425,0.32272,1.68137,12.7476,0.85793,0.000137228,0.000137228,0.000137228
3,52.1314,1.21935,4.79069,0.81477,0.04851,0.90625,0.05203,0.03631,1.05407,100.587,0.81135,0.000211288,0.000211288,0.000211288
4,60.1644,1.39974,1.79203,0.81651,0.05106,1,0.05439,0.03555,nan,nan,nan,0.00028218,0.00028218,0.00028218
5,73.5281,1.29646,1.15917,0.80714,0.005,0.1875,0.00317,0.00239,nan,nan,nan,0.000349904,0.000349904,0.000349904
6,80.638,1.30154,1.25159,0.81253,0.08083,0.875,0.14946,0.1076,1.14063,nan,0.80655,0.00041446,0.00041446,0.00041446
7,88.0262,1.23567,0.81495,0.8211,1,0.65564,0.66972,0.45505,nan,nan,nan,0.000475848,0.000475848,0.000475848
8,98.9157,1.24247,0.66976,0.81358,0.34458,0.03125,0.11362,0.01136,nan,nan,nan,0.000534068,0.000534068,0.000534068
9,116.383,1.18696,0.65314,0.8128,0,0,0,0,nan,nan,nan,0.00058912,0.00058912,0.00058912
10,124.2,1.24767,0.61492,0.82512,0,0,0,0,nan,nan,nan,0.000641004,0.000641004,0.000641004
11,131.57,1.22649,0.74955,0.81855,0,0,0,0,nan,nan,nan,0.00068972,0.00068972,0.00068972
12,139.302,1.21014,0.59115,0.80224,0,0,0,0,nan,nan,nan,0.000735268,0.000735268,0.000735268
13,148.603,1.18528,0.56103,0.80585,0,0,0,0,nan,nan,nan,0.000777648,0.000777648,0.000777648
14,157.29,1.10142,0.53464,0.80394,0,0,0,0,nan,nan,nan,0.00081686,0.00081686,0.00081686
15,166.816,1.16384,0.49325,0.80928,0,0,0,0,nan,nan,nan,0.000852904,0.000852904,0.000852904
16,178.137,1.19619,0.54387,0.80173,0,0,0,0,3.26118,inf,1.14044,0.00088578,0.00088578,0.00088578
17,185.558,1.21109,0.53853,0.80529,0,0,0,0,2.85605,inf,1.07986,0.000915488,0.000915488,0.000915488
18,195.589,1.15691,0.50078,0.80084,0,0,0,0,nan,nan,nan,0.000942028,0.000942028,0.000942028
19,203.136,1.15305,0.53693,0.80335,0,0,0,0,nan,nan,nan,0.0009654,0.0009654,0.0009654
20,211.597,1.20478,0.53387,0.80973,0,0,0,0,nan,nan,nan,0.000985604,0.000985604,0.000985604
21,219.401,1.08704,0.517,0.79092,0,0,0,0,nan,nan,nan,0.00100264,0.00100264,0.00100264
22,227.144,1.13873,0.55331,0.78333,0,0,0,0,nan,nan,nan,0.00101651,0.00101651,0.00101651
23,235.095,1.05525,0.50309,0.804,0,0,0,0,nan,nan,nan,0.00102721,0.00102721,0.00102721
24,242.709,1.15534,0.52476,0.79538,0,0,0,0,nan,nan,nan,0.00103474,0.00103474,0.00103474
25,252.667,1.06346,0.4916,0.78988,0,0,0,0,nan,nan,nan,0.0010391,0.0010391,0.0010391
26,260.277,1.14392,0.50579,0.81072,0,0,0,0,nan,nan,nan,0.00101,0.00101,0.00101
27,267.882,1.13804,0.47649,0.81496,0,0,0,0,2.64323,inf,2.04842,0.0009704,0.0009704,0.0009704
28,277.446,1.14402,0.50484,0.80056,0,0,0,0,2.02726,inf,1.3621,0.0009308,0.0009308,0.0009308
29,285.205,1.08217,0.46501,0.81655,0.00879,0.3125,0.00562,0.00433,1.69424,inf,0.99795,0.0008912,0.0008912,0.0008912
30,292.81,1.15492,0.4788,0.80444,0.05215,0.6875,0.04323,0.02921,1.30531,150.02,0.84637,0.0008516,0.0008516,0.0008516
31,302.23,1.22365,0.51501,0.80724,0.06214,0.78125,0.05366,0.03531,1.25723,105.757,0.82585,0.000812,0.000812,0.000812
32,309.793,1.16244,0.47266,0.79989,0.07075,0.78125,0.06204,0.0408,1.26747,98.6092,0.82313,0.0007724,0.0007724,0.0007724
33,317.695,1.10385,0.47943,0.79352,0.06149,0.75,0.05645,0.03938,1.16164,97.5887,0.82044,0.0007328,0.0007328,0.0007328
34,325.294,1.06654,0.48925,0.7939,0.06266,0.71875,0.06096,0.04312,1.12419,72.8093,0.8168,0.0006932,0.0006932,0.0006932
35,334.815,1.06301,0.46944,0.80082,0.40305,1,0.40821,0.2835,1.0756,5.27821,0.8072,0.0006536,0.0006536,0.0006536
36,342.514,1.11506,0.47675,0.80272,0.99513,1,0.995,0.70721,1.05863,0.4966,0.80837,0.000614,0.000614,0.000614
37,351.789,1.04196,0.46004,0.79383,0.97721,1,0.995,0.68822,1.00719,0.50641,0.80834,0.0005744,0.0005744,0.0005744
38,361.503,0.98305,0.46483,0.79892,0.99263,1,0.995,0.69277,0.98825,0.49621,0.80621,0.0005348,0.0005348,0.0005348
39,369.146,1.04193,0.46778,0.80194,0.99452,1,0.995,0.70088,0.96936,0.48737,0.80546,0.0004952,0.0004952,0.0004952
40,383.78,1.07039,0.46035,0.79528,0.99574,1,0.995,0.70906,0.93502,0.46804,0.8078,0.0004556,0.0004556,0.0004556
41,396.21,1.05528,0.46183,0.80439,0.99564,1,0.995,0.70867,0.9171,0.46693,0.80659,0.000416,0.000416,0.000416
42,403.71,0.99685,0.4521,0.80537,0.99565,1,0.995,0.7227,0.90093,0.47054,0.80504,0.0003764,0.0003764,0.0003764
43,414.694,0.98842,0.46991,0.80239,0.99572,1,0.995,0.72854,0.92317,0.45859,0.80554,0.0003368,0.0003368,0.0003368
44,425.474,0.98783,0.46906,0.77603,0.99601,1,0.995,0.72868,0.93174,0.46466,0.80806,0.0002972,0.0002972,0.0002972
45,434.763,0.9622,0.4685,0.77726,0.99646,1,0.995,0.72739,0.94238,0.49158,0.80817,0.0002576,0.0002576,0.0002576
46,442.23,0.95348,0.45831,0.77409,0.99736,1,0.995,0.69426,0.97612,0.50029,0.80865,0.000218,0.000218,0.000218
47,451.533,0.86584,0.42131,0.79223,0.99789,1,0.995,0.71153,0.96178,0.49788,0.80813,0.0001784,0.0001784,0.0001784
48,459.243,0.97526,0.45422,0.80974,0.99792,1,0.995,0.7039,0.95274,0.48766,0.80681,0.0001388,0.0001388,0.0001388
49,469.688,0.93768,0.45108,0.80523,0.99788,1,0.995,0.71386,0.92968,0.4766,0.80481,9.92e-05,9.92e-05,9.92e-05
50,483.29,0.99215,0.43848,0.79949,0.99789,1,0.995,0.71273,0.92656,0.46976,0.80439,5.96e-05,5.96e-05,5.96e-05
